i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
6903,2021-08-04 16:45:00,SHORT,39468.6,39749.0,69.32764404182768,0.88,0.53,0.02355000583498654,2021,-0.007104381711031085,HIGH
6972,2021-08-05 10:00:00,LONG,38237.5,38383.48,73.70777657199103,0.945,0.83,-0.01791447283934763,2021,0.003817718208564974,HIGH
6996,2021-08-05 16:00:00,LONG,39205.86,40800.56,35.93907397374935,1.0,1.0,0.020572924394659027,2021,0.04067504194526015,Q2
7020,2021-08-05 22:00:00,SHORT,40916.93,40415.98,40.36514242823487,0.65,0.904,0.040600450146869964,2021,0.012243098394723092,Q3
7044,2021-08-06 04:00:00,LONG,40109.15,40854.95,28.618876564935732,0.615,0.866,0.004427362222939407,2021,0.018594260910540252,Q2
7100,2021-08-06 18:00:00,SHORT,42638.78,42607.55,70.3193581764198,0.97,0.998,0.01906682212819683,2021,0.0007324318378714383,HIGH
7174,2021-08-07 12:30:00,SHORT,43839.83,43425.72,51.98302632408655,0.56,0.846,0.00487149101594641,2021,0.009445976410036274,HIGH
7262,2021-08-08 10:30:00,LONG,44305.35,44109.09,36.04057722953515,0.475,0.636,-0.005561449891399462,2021,-0.0044297133416168035,Q2
7289,2021-08-08 17:15:00,LONG,43772.71,44124.9,36.47860108026039,0.91,0.86,-0.015159573869708546,2021,0.008045880641157523,Q2
7364,2021-08-09 12:00:00,SHORT,45715.41,45800.0,75.99347199261254,0.995,0.926,0.02887323468182082,2021,-0.001850360742690408,HIGH
7438,2021-08-10 06:30:00,LONG,45638.41,45484.44,34.32983810782428,0.265,0.05,-0.004695367070625161,2021,-0.0033736933429539097,Q2
7462,2021-08-10 12:30:00,LONG,45762.0,44862.59,31.254850576253368,0.54,0.262,4.010037988278947e-05,2021,-0.019654079804204437,Q2
7498,2021-08-10 21:30:00,SHORT,45780.0,45732.37,56.56625092118809,0.62,0.096,0.00827832181786096,2021,0.0010404106596766576,HIGH
7541,2021-08-11 08:15:00,SHORT,46218.57,45916.13,41.55420188028239,0.745,0.27,0.005920029059843698,2021,0.006543690122822976,Q3
7571,2021-08-11 15:45:00,SHORT,46448.0,46448.42,39.36789428382463,0.67,0.2,0.007502147134834543,2021,-9.042369962070569e-06,Q3
7595,2021-08-11 21:45:00,LONG,46336.66,45987.01,23.481291154620354,0.125,0.054,0.0010158861697658393,2021,-0.007545861095728554,LOW
7619,2021-08-12 03:45:00,SHORT,45938.54,45230.0,30.412680677148575,0.535,0.042,-0.002612309553471356,2021,0.015423650816939347,Q2
7664,2021-08-12 15:00:00,LONG,44216.45,44370.16,54.75556301545726,0.99,0.666,-0.019065315151677215,2021,0.0034763080256331393,HIGH
7688,2021-08-12 21:00:00,SHORT,44311.54,44528.77,22.63238599437243,0.425,0.058,-0.009576665176575752,2021,-0.004902334696559766,LOW
7737,2021-08-13 09:15:00,SHORT,46275.01,46544.99,61.811607852552505,0.97,0.558,0.024633490174370373,2021,-0.005834250495029518,HIGH
7838,2021-08-14 10:30:00,LONG,46689.07,46730.41,25.551939308833113,0.775,0.876,-0.01499852320675106,2021,0.0008854320722174115,LOW
7862,2021-08-14 16:30:00,SHORT,46869.96,46624.76,38.724117747406254,0.575,0.216,-0.00593934252386004,2021,0.005231495823764243,Q3
7886,2021-08-14 22:30:00,LONG,46967.52,47299.17,17.77181476221701,0.56,0.742,0.005523929821556574,2021,0.0070612627620108845,LOW
7918,2021-08-15 06:30:00,LONG,46510.0,45906.22,35.13954639198024,0.735,0.462,-0.007458466266178683,2021,-0.012981724360352588,Q2
7942,2021-08-15 12:30:00,LONG,45800.27,45959.28,44.0748990897049,0.325,0.434,-0.014928795149951003,2021,0.0034718135941120445,Q3
7978,2021-08-15 21:30:00,SHORT,46849.98,47574.19,41.600379104920634,0.785,0.512,0.014091220195770715,2021,-0.015458064229696556,Q3
8051,2021-08-16 15:45:00,LONG,46350.8,46125.24,63.1862963196291,0.995,0.86,-0.01046656390071403,2021,-0.004866366923548352,HIGH
8099,2021-08-17 03:45:00,SHORT,46426.12,45959.99,27.033581217481103,0.76,0.45,0.009983530649731714,2021,0.010040253202292258,Q2
8123,2021-08-17 09:45:00,LONG,46857.18,46396.71,41.1877402310224,0.785,0.708,0.017253315878769004,2021,-0.009827095868765495,Q3
8149,2021-08-17 16:15:00,LONG,45876.99,44750.57,63.30618156078583,0.95,0.842,-0.010696201378366717,2021,-0.02455304936091052,HIGH
8173,2021-08-17 22:15:00,LONG,44743.19,44974.2,56.12244140988169,0.97,0.976,-0.023138547350768847,2021,0.0051630203389609625,HIGH
