entry_ts,side,entry_px,tp1_px,exit_ts,exit_px,pnl_pct_pos,bars_held,reason,bal_after
2026-04-27 06:35:00,LONG,77556.90827999999,77686.16979379999,2026-04-27 07:00:00,77593.09116294287,0.0025997999999997205,5,TP1+LOCK,4954.012717711706
2026-04-27 07:10:00,LONG,77615.41997999999,77744.7790133,2026-04-27 09:20:00,77685.53121428573,0.0032549736824938977,26,TP1+TRAIL,4970.137898730597
2026-04-27 10:05:00,LONG,77804.5578,,2026-04-27 13:50:00,77529.7002321452,-0.011197999999999736,45,SL,4914.482294540613
2026-04-27 17:00:00,LONG,76771.55124,76899.50382540001,2026-04-27 17:35:00,76807.36772770516,0.0025998000000000353,7,TP1+LOCK,4927.25896560996
2026-04-27 17:45:00,LONG,76791.75528,,2026-04-27 19:30:00,76520.47560584753,-0.011197999999999425,21,SL,4872.083519713063
2026-04-28 01:50:00,LONG,77102.9175,,2026-04-28 02:35:00,76830.538593445,-0.011197999999999752,9,SL,4817.525928459318
2026-04-28 02:45:00,LONG,76675.332,76803.12422,2026-04-28 03:05:00,76711.10359822238,0.002599799999999844,4,TP1+LOCK,4830.0505323681255
2026-04-28 03:15:00,LONG,76702.53744,76830.3750024,2026-04-28 04:20:00,76777.12364642858,0.00335861288787722,13,TP1+TRAIL,4846.272802335236
2026-04-28 11:20:00,LONG,76402.47744,,2026-04-28 11:35:00,76132.57295469697,-0.011197999999999821,3,SL,4792.004239494687
2026-04-28 11:45:00,LONG,76126.02216000001,76252.89886360001,2026-04-28 12:15:00,76161.53748687172,0.0025998000000001104,6,TP1+LOCK,4804.462492116525
2026-04-28 12:25:00,LONG,76210.43904,76337.4564384,2026-04-28 13:00:00,76245.99375016012,0.002599799999999948,7,TP1+LOCK,4816.95313370353
2026-04-28 13:10:00,LONG,76124.92194,76251.7968099,2026-04-28 13:40:00,76160.4367535824,0.002599799999999788,6,TP1+LOCK,4829.476248460531
2026-04-28 13:50:00,LONG,76119.12078,,2026-04-28 14:15:00,75850.21729932453,-0.011197999999999384,5,SL,4775.395773430273
2026-04-28 14:25:00,LONG,75811.45926,75937.8116921,2026-04-28 15:05:00,75846.82783279344,0.0025998000000000744,8,TP1+LOCK,4787.810847362037
2026-04-28 15:15:00,LONG,75985.194,76111.83599,2026-04-28 16:55:00,76055.160925,0.0032811952299550166,20,TP1+TRAIL,4803.520589476328
2026-04-28 23:05:00,LONG,76266.65027999999,76393.76136379999,2026-04-29 01:05:00,76382.345475,0.004175474166793506,24,TP1+TRAIL,4823.5775656073465
2026-04-29 16:25:00,LONG,75825.162,75951.53727,2026-04-29 17:05:00,75860.53696557839,0.0025997999999998918,8,TP1+LOCK,4836.1179025624115
2026-04-29 17:15:00,LONG,75971.1912,76097.809852,2026-04-29 18:00:00,76006.63429306784,0.002599800000000002,9,TP1+LOCK,4848.690841885494
2026-04-29 18:10:00,LONG,75161.92937999999,75287.1992623,2026-04-29 18:25:00,75196.9949254534,0.002599800000000152,3,TP1+LOCK,4861.296468336228
2026-04-30 05:30:00,LONG,75622.72152,75748.75938920001,2026-04-30 06:40:00,75704.98811642859,0.003531783307484559,14,TP1+TRAIL,4878.465514055832
